customer_id,customer_name,city,region
CUST0001,Nancy Stewart,St. Louis,Missouri
CUST0002,Karen Gonzalez,Fayetteville,North Carolina
CUST0003,Barbara Wood,Newark,New Jersey
CUST0004,Rebecca Gutierrez,Fresno,California
CUST0005,Janet Ruiz,Sacramento,California
CUST0006,Donna Reed,Los Angeles,California
CUST0007,Patrick Kelly,Baltimore,Maryland
CUST0008,Emily Torres,Las Vegas,Nevada
CUST0009,Larry Martinez,Indianapolis,Indiana
CUST0010,Scott Green,Cincinnati,Ohio
CUST0011,Steven Reed,Colorado Springs,Colorado
CUST0012,Alexander King,San Jose,California
CUST0013,Kathleen Scott,Louisville,Kentucky
CUST0014,Susan Harris,Arlington,Texas
CUST0015,Scott Roberts,Colorado Springs,Colorado
CUST0016,Joseph Watson,Garland,Texas
CUST0017,Elizabeth Walker,Riverside,California
CUST0018,Kenneth Wright,Henderson,Nevada
CUST0019,Jonathan James,Winston-Salem,North Carolina
CUST0020,Matthew Jackson,Anaheim,California
CUST0021,George Stewart,El Paso,Texas
CUST0022,Frank Gray,Colorado Springs,Colorado
CUST0023,Eric James,St. Louis,Missouri
CUST0024,George Collins,Aurora,Illinois
CUST0025,Charles Ramirez,Oklahoma City,Oklahoma
CUST0026,Carol Adams,Baton Rouge,Louisiana
CUST0027,Heather Gray,Anaheim,California
CUST0028,Carol Morgan,Birmingham,Alabama
CUST0029,Rachel Rogers,Birmingham,Alabama
CUST0030,George Brown,Fort Wayne,Indiana
CUST0031,Donna Brown,Tacoma,Washington
CUST0032,Angela Perry,Omaha,Nebraska
CUST0033,Heather Torres,Nashville,Tennessee
CUST0034,Gary Harris,Lubbock,Texas
CUST0035,Stephen Scott,Phoenix,Arizona
CUST0036,Christopher Lee,Birmingham,Alabama
CUST0037,Carol Perry,New York,New York
CUST0038,Maria Hernandez,San Antonio,Texas
CUST0039,Patricia Gonzalez,Spokane,Washington
CUST0040,Ashley Castillo,Tacoma,Washington
CUST0041,Deborah Harris,Lincoln,Nebraska
CUST0042,Sharon Ramos,Lexington,Kentucky
CUST0043,Frank Clark,Corpus Christi,Texas
CUST0044,Dennis Patel,Cincinnati,Ohio
CUST0045,Susan Rodriguez,Laredo,Texas
CUST0046,Debra Carter,Bakersfield,California
CUST0047,Ronald Wright,Jersey City,New Jersey
CUST0048,Justin Ward,Indianapolis,Indiana
CUST0049,Susan Mendoza,Fort Wayne,Indiana
CUST0050,Alexander Davis,Atlanta,Georgia
CUST0051,Matthew Anderson,Modesto,California
CUST0052,Sharon Gutierrez,Scottsdale,Arizona
CUST0053,Kevin Phillips,Washington,DC
CUST0054,Patrick Brown,Seattle,Washington
CUST0055,Pamela Flores,Colorado Springs,Colorado
CUST0056,Gary Lewis,Irving,Texas
CUST0057,Linda Jimenez,Honolulu,Hawaii
CUST0058,Elizabeth Foster,Columbus,Ohio
CUST0059,Katherine Howard,Toledo,Ohio
CUST0060,Cynthia Allen,Aurora,Colorado
CUST0061,Laura Brown,Cincinnati,Ohio
CUST0062,Kenneth Nguyen,San Diego,California
CUST0063,Donna Parker,Madison,Wisconsin
CUST0064,Steven Scott,Chicago,Illinois
CUST0065,Richard Rivera,Austin,Texas
CUST0066,Christopher Taylor,Akron,Ohio
CUST0067,Thomas Robinson,Washington,DC
CUST0068,Heather King,Las Vegas,Nevada
CUST0069,Christine Jackson,Boise,Idaho
CUST0070,Jason Gray,Hialeah,Florida
CUST0071,Dorothy Jenkins,Fayetteville,North Carolina
CUST0072,Heather Perez,New York,New York
CUST0073,Barbara Sanchez,Charlotte,North Carolina
CUST0074,Christine Cook,Milwaukee,Wisconsin
CUST0075,David Robinson,Fort Worth,Texas
CUST0076,Amy Flores,Colorado Springs,Colorado
CUST0077,Robert Powell,St. Petersburg,Florida
CUST0078,Timothy Nguyen,Milwaukee,Wisconsin
CUST0079,Stephen Turner,Durham,North Carolina
CUST0080,Nicholas Morris,Glendale,Arizona
CUST0081,Gary Hughes,Honolulu,Hawaii
CUST0082,Pamela Thomas,Laredo,Texas
CUST0083,Jack Jimenez,Plano,Texas
CUST0084,Jessica Gray,Winston-Salem,North Carolina
CUST0085,Ashley Mendoza,Montgomery,Alabama
CUST0086,Carolyn Allen,Philadelphia,Pennsylvania
CUST0087,Emily Edwards,North Las Vegas,Nevada
CUST0088,Jack Foster,St. Petersburg,Florida
CUST0089,Jennifer Morris,San Bernardino,California
CUST0090,Stephanie Moore,Irvine,California
CUST0091,Richard Sanchez,San Antonio,Texas
CUST0092,Sarah Hughes,Lexington,Kentucky
CUST0093,David Bailey,Phoenix,Arizona
CUST0094,Andrew Mendoza,Durham,North Carolina
CUST0095,Pamela Ross,New York,New York
CUST0096,Brian Perez,Colorado Springs,Colorado
CUST0097,Jeffrey Lopez,Norfolk,Virginia
CUST0098,Shirley Turner,Houston,Texas
CUST0099,Karen Bennett,Indianapolis,Indiana
CUST0100,Barbara Murphy,Buffalo,New York
CUST0101,Christopher Moore,New York,New York
CUST0102,Joshua Powell,Richmond,Virginia
CUST0103,Linda Baker,Plano,Texas
CUST0104,Betty Ross,Seattle,Washington
CUST0105,Jason Jenkins,Glendale,Arizona
CUST0106,Daniel Hill,Des Moines,Iowa
CUST0107,Eric Howard,Arlington,Texas
CUST0108,John Brooks,Winston-Salem,North Carolina
CUST0109,Donald Robinson,Santa Ana,California
CUST0110,Ryan Baker,San Diego,California
CUST0111,Richard Peterson,Irving,Texas
CUST0112,Patricia Patel,Mesa,Arizona
CUST0113,Mary Reed,Tampa,Florida
CUST0114,William Cook,Riverside,California
CUST0115,Amanda Davis,Glendale,Arizona
CUST0116,Rachel Roberts,Arlington,Texas
CUST0117,Nancy Scott,Austin,Texas
CUST0118,Anna Edwards,Plano,Texas
CUST0119,Catherine Moore,Richmond,Virginia
CUST0120,Patrick Jones,Gilbert,Arizona
CUST0121,Raymond Ramirez,Mesa,Arizona
CUST0122,Amanda Turner,San Diego,California
CUST0123,Emily Foster,Tampa,Florida
CUST0124,Gregory Murphy,Raleigh,North Carolina
CUST0125,Patrick Baker,Laredo,Texas
CUST0126,Rachel Price,Des Moines,Iowa
CUST0127,Brian Carter,Aurora,Illinois
CUST0128,Melissa Jimenez,San Francisco,California
CUST0129,Jacob Wood,San Jose,California
CUST0130,Debra Brooks,Tucson,Arizona
CUST0131,Charles Allen,Philadelphia,Pennsylvania
CUST0132,Donald Miller,Seattle,Washington
CUST0133,Charles Howard,San Bernardino,California
CUST0134,Cynthia Castillo,Modesto,California
CUST0135,Jennifer Bennett,Atlanta,Georgia
CUST0136,Betty Turner,Jacksonville,Florida
CUST0137,Richard Brown,Philadelphia,Pennsylvania
CUST0138,Elizabeth James,Reno,Nevada
CUST0139,Brandon King,Winston-Salem,North Carolina
CUST0140,Kenneth Parker,Tucson,Arizona
CUST0141,Brian Flores,New York,New York
CUST0142,Jeffrey Kim,San Jose,California
CUST0143,Thomas Murphy,Scottsdale,Arizona
CUST0144,Jennifer Kelly,Atlanta,Georgia
CUST0145,Nicholas Adams,Mesa,Arizona
CUST0146,Jessica Lewis,Oklahoma City,Oklahoma
CUST0147,Steven Brown,Santa Ana,California
CUST0148,Thomas Nguyen,Milwaukee,Wisconsin
CUST0149,Brenda Harris,Modesto,California
CUST0150,Charles Cox,Indianapolis,Indiana
CUST0151,Dennis Lewis,Corpus Christi,Texas
CUST0152,Alexander Jackson,St. Petersburg,Florida
CUST0153,Karen Jones,Louisville,Kentucky
CUST0154,Amy Peterson,Reno,Nevada
CUST0155,Kimberly Gonzalez,Las Vegas,Nevada
CUST0156,Samantha Scott,Greensboro,North Carolina
CUST0157,Amy Martin,Richmond,Virginia
CUST0158,Dorothy Morgan,San Antonio,Texas
CUST0159,Ronald Parker,Montgomery,Alabama
CUST0160,Anna Lopez,Des Moines,Iowa
CUST0161,Richard Cooper,Greensboro,North Carolina
CUST0162,Richard James,Modesto,California
CUST0163,Rebecca Allen,Pittsburgh,Pennsylvania
CUST0164,Susan Peterson,Nashville,Tennessee
CUST0165,Sharon Myers,Akron,Ohio
